game_name,card_title,description,tags,figure_name,power,suit,rank,extra_notes
Poker,Ace of Hearts,N/A,N/A,Ace,N/A,Hearts,A,N/A
Poker,2 of Hearts,N/A,N/A,N/A,N/A,Hearts,2,N/A
Poker,3 of Hearts,N/A,N/A,N/A,N/A,Hearts,3,N/A
Poker,4 of Hearts,N/A,N/A,N/A,N/A,Hearts,4,N/A
Poker,5 of Hearts,N/A,N/A,N/A,N/A,Hearts,5,N/A
Poker,6 of Hearts,N/A,N/A,N/A,N/A,Hearts,6,N/A
Poker,7 of Hearts,N/A,N/A,N/A,N/A,Hearts,7,N/A
Poker,8 of Hearts,N/A,N/A,N/A,N/A,Hearts,8,N/A
Poker,9 of Hearts,N/A,N/A,N/A,N/A,Hearts,9,N/A
Poker,10 of Hearts,N/A,N/A,N/A,N/A,Hearts,10,N/A
Poker,Jack of Hearts,N/A,Face Card,Jack,N/A,Hearts,J,N/A
Poker,Queen of Hearts,N/A,Face Card,Queen,N/A,Hearts,Q,N/A
Poker,King of Hearts,N/A,Face Card,King,N/A,Hearts,K,N/A
Poker,Ace of Diamonds,N/A,N/A,Ace,N/A,Diamonds,A,N/A
Poker,2 of Diamonds,N/A,N/A,N/A,N/A,Diamonds,2,N/A
Poker,3 of Diamonds,N/A,N/A,N/A,N/A,Diamonds,3,N/A
Poker,4 of Diamonds,N/A,N/A,N/A,N/A,Diamonds,4,N/A
Poker,5 of Diamonds,N/A,N/A,N/A,N/A,Diamonds,5,N/A
Poker,6 of Diamonds,N/A,N/A,N/A,N/A,Diamonds,6,N/A
Poker,7 of Diamonds,N/A,N/A,N/A,N/A,Diamonds,7,N/A
Poker,8 of Diamonds,N/A,N/A,N/A,N/A,Diamonds,8,N/A
Poker,9 of Diamonds,N/A,N/A,N/A,N/A,Diamonds,9,N/A
Poker,10 of Diamonds,N/A,N/A,N/A,N/A,Diamonds,10,N/A
Poker,Jack of Diamonds,N/A,Face Card,Jack,N/A,Diamonds,J,N/A
Poker,Queen of Diamonds,N/A,Face Card,Queen,N/A,Diamonds,Q,N/A
Poker,King of Diamonds,N/A,Face Card,King,N/A,Diamonds,K,N/A
Poker,Ace of Clubs,N/A,N/A,Ace,N/A,Clubs,A,N/A
Poker,2 of Clubs,N/A,N/A,N/A,N/A,Clubs,2,N/A
Poker,3 of Clubs,N/A,N/A,N/A,N/A,Clubs,3,N/A
Poker,4 of Clubs,N/A,N/A,N/A,N/A,Clubs,4,N/A
Poker,5 of Clubs,N/A,N/A,N/A,N/A,Clubs,5,N/A
Poker,6 of Clubs,N/A,N/A,N/A,N/A,Clubs,6,N/A
Poker,7 of Clubs,N/A,N/A,N/A,N/A,Clubs,7,N/A
Poker,8 of Clubs,N/A,N/A,N/A,N/A,Clubs,8,N/A
Poker,9 of Clubs,N/A,N/A,N/A,N/A,Clubs,9,N/A
Poker,10 of Clubs,N/A,N/A,N/A,N/A,Clubs,10,N/A
Poker,Jack of Clubs,N/A,Face Card,Jack,N/A,Clubs,J,N/A
Poker,Queen of Clubs,N/A,Face Card,Queen,N/A,Clubs,Q,N/A
Poker,King of Clubs,N/A,Face Card,King,N/A,Clubs,K,N/A
Poker,Ace of Spades,N/A,N/A,Ace,N/A,Spades,A,N/A
Poker,2 of Spades,N/A,N/A,N/A,N/A,Spades,2,N/A
Poker,3 of Spades,N/A,N/A,N/A,N/A,Spades,3,N/A
Poker,4 of Spades,N/A,N/A,N/A,N/A,Spades,4,N/A
Poker,5 of Spades,N/A,N/A,N/A,N/A,Spades,5,N/A
Poker,6 of Spades,N/A,N/A,N/A,N/A,Spades,6,N/A
Poker,7 of Spades,N/A,N/A,N/A,N/A,Spades,7,N/A
Poker,8 of Spades,N/A,N/A,N/A,N/A,Spades,8,N/A
Poker,9 of Spades,N/A,N/A,N/A,N/A,Spades,9,N/A
Poker,10 of Spades,N/A,N/A,N/A,N/A,Spades,10,N/A
Poker,Jack of Spades,N/A,Face Card,Jack,N/A,Spades,J,N/A
Poker,Queen of Spades,N/A,Face Card,Queen,N/A,Spades,Q,N/A
Poker,King of Spades,N/A,Face Card,King,N/A,Spades,K,N/A
Poker,Joker,N/A,Wild,N/A,N/A,N/A,N/A,Special wild card
Poker,Joker,N/A,Wild,N/A,N/A,N/A,N/A,Special wild card
